Frequency;Cores;CacheSize;P_orig;P;P_dyn_orig;P_dyn;P_dyn_rest;P_dyn_mem_orig;P_dyn_mem;P_dyn_arm_orig;P_dyn_arm;P_idle;P_idle_kfc;P_idle_arm;rps_orig;rps;IPC_orig;IPC;memory_heaviness_orig;memory_heaviness;IPR_orig;IPR;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
1300;2;32;5.350436047890481;5.353458567656562;1.3174885572282287;1.320511076994309;0.2959618620585691;0.027742858504304198;0.027604463169454162;0.9937838366653553;0.9969447517662857;4.032947490662252;0.09650762552949528;0.19089283230589701;16495.66089029735;16631.32183426452;0.4467023311622831;0.44827569630870645;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;5.512391670712119;17204.718073383643;0.03447688913924986;0.02968792997031245;573.3962391191235;0.1589331030555572
1400;2;32;5.525166369708286;5.528681193140649;1.444777863600708;1.448292687033071;0.3040313767029419;0.028021485566713;0.027888815809581267;1.1127250013310532;1.1163724945205478;4.080388506107578;0.11138391560708089;0.22345755767363754;16739.380926772465;16880.674007530117;0.4209235339224978;0.4224968990689211;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;5.636038331068986;17204.024209612286;0.01915505280997246;0.019418218229246616;323.35020208216883;0.10735713792833668
1500;2;32;5.715342771718219;5.719319467073438;1.5826714830017616;1.5866481783569806;0.3102432030508654;0.028151939733201188;0.02802464162729066;1.244276340217695;1.2483803336788246;4.132671288716457;0.1274796354547785;0.25964462043481906;16904.544931204906;17051.102085666622;0.3967382526307446;0.39831161777716784;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;5.821905552365263;17204.21262519286;0.008979509873144513;0.01793676430953381;153.11053952623843;0.10258608529182478
1600;2;32;5.922368615898948;5.926776751433594;1.7325727774100588;1.7369809129447047;0.3145973411023396;0.02815054234895884;0.02802826196777248;1.3898248939587603;1.3943553098745927;4.189795838488889;0.14479478507258822;0.2994540205894415;17004.732467331443;17156.2492575203;0.37414648728702316;0.3757198524334464;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;6.34802440899334;17203.31818155377;0.002743543960393113;0.07107533744338408;47.06892403346865;0.42124765755974636
1700;2;32;6.147554799739405;6.152363943710048;1.8957926443145303;1.900601788285174;0.3170937908573646;0.02803253938099296;0.02791492279803371;1.5506663140761727;1.5555930746297757;4.251762155424874;0.16332936446050994;0.3428857581375049;17053.523098888865;17209.758711937466;0.35314823789133376;0.354721603037757;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;6.3503571013858355;17209.639841154025;-6.907173158583779e-6;0.03218163936452562;-0.11887078344079782;0.1979931576757874
1800;2;32;6.3921197562387775;6.39729947690199;2.073549516714364;2.078729237377577;0.3177325523159402;0.027812101418127448;0.02769879470689817;1.7280048629802964;1.7332978903547391;4.318570239524413;0.18308337361854374;0.38993983307900915;17064.496389613952;17225.273637764392;0.3337435044436762;0.33531686959009943;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;6.699713496720032;17231.77339691366;3.773385135094979e-4;0.047272137393275765;6.499759149268357;0.30241401981804206
1900;2;32;6.657189453906515;6.66270931951887;2.2669693631190104;2.2724892287313656;0.3165136254780667;0.02750232367100302;0.027392972905006675;1.9229534139699407;1.9285826303482922;4.390220090787504;0.20405681254668956;0.4406162454139543;17051.231903243508;17216.43722384739;0.31593228694405073;0.317505652090474;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;7.209372788658826;17263.82372763129;0.002752398952685816;0.0820482243669956;47.38650378389866;0.5466634691399568
2e3;2;32;6.943797396762324;6.949626975580392;2.477085687548177;2.482915266366244;0.31343701034374394;0.02711522597207728;0.027009477224816815;2.1365334512323555;2.1424687787976833;4.466711709214148;0.22624968124494746;0.4949149951423405;17027.30920351429;17196.89265903274;0.2997145853924571;0.30128795053888036;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;7.991968398210803;17276.196278017298;0.004611508634549992;0.1499852332064716;79.30361898455885;1.042341422630411
200;1;64;4.035576778905585;4.040545870713969;0.20492382534742445;0.20989291715580877;0.08458977340481666;0.012829890391506817;0.013062505516160998;0.10750416155110099;0.1122406382348311;3.8306529535581606;0.013350799503448882;0.07175512122785198;4289.351053443947;4248.692549665978;0.7842946972884404;0.781946937571233;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.019730422098498;3890.5637070252596;-0.08429154109277062;-0.005151642694206733;-358.1288426407182;-0.0208154486154708
300;1;64;4.1325813812449725;4.136316353080918;0.3077468510405684;0.31148182287651416;0.11309385931013141;0.015810502348385276;0.016028764441973813;0.17884248938205172;0.1823591991244089;3.824834530204404;0.014813362109801952;0.06447413526774234;6078.7501372294155;6020.073435872683;0.7409872246203036;0.7386394649030963;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.132634708690541;5654.946235208732;-0.060651619046408096;-8.900780491885307e-4;-365.12720066395104;-0.0036816443903768814
400;1;64;4.224481691169488;4.227027952975822;0.4006238171552877;0.40317007896162194;0.13974025691899689;0.018403936982686227;0.018608374170784127;0.24247962325360461;0.2448214478718409;3.8238578740142004;0.01749535448626707;0.06081548670107363;7648.728312668443;7573.460735037437;0.699273267900199;0.6969255081829916;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.248645814281241;7330.3067879248465;-0.03210605502814279;0.005114198804907367;-243.15394711259069;0.021617861305418984
500;1;64;4.313698180044948;4.315101141764497;0.4859751950573987;0.48737815677694707;0.16452896623141314;0.02063834479961408;0.020829485207796393;0.3008078840263715;0.3020197053377376;3.82772298498755;0.021396776632844235;0.060779175527845855;9012.358119969453;8921.841951191924;0.6591528271281261;0.6568050674109188;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.354608386697267;8829.295187950664;-0.010373055670291967;0.0091555779655757;-92.54676324126012;0.03950724493276958
600;1;64;4.402558854747427;4.402863926323019;0.5661289916229746;0.5664340631985666;0.18745998724738006;0.02254080092619016;0.02271917268003191;0.35612820344940443;0.3562549032711546;3.8364298631244522;0.026517628549533448;0.064365201748059;10182.712099340868;10078.204588367817;0.6206259023040852;0.618278142586878;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.457934321390186;10276.473769917442;0.019673065754039782;0.012507857610116583;198.2691815496255;0.055070395067167155
700;1;64;4.493299257663261;4.492551849037724;0.6433207492383529;0.6425733406128162;0.20853331996689772;0.02413730511125265;0.02430343633632886;0.4106501241602025;0.4097365843095897;3.8499785084249076;0.03285791023633471;0.07157356536171307;11172.86279099111;11055.536150596798;0.5836924934280763;0.581344733710869;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.540357492055095;11210.75923964221;0.014040304054998983;0.010641088767313837;155.22308904541205;0.047805643017370336
800;1;64;4.588062466689043;4.586307987805204;0.7196935458001266;0.7179390669162888;0.2277489643899661;0.0254527817254566;0.0256072005473423;0.4664917996847038;0.46458290197898044;3.868368920888916;0.040417621693248015;0.08240426636880807;11995.882735128605;11866.824141910549;0.5483526005000994;0.5460048407828921;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.667631437230659;12061.06314529886;0.016368238128878082;0.017731789849632862;194.23900338831118;0.08132344942545444
