Frequency;Cores;CacheSize;P;rps;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
1600;1;256;5.781384990325625;9717.12858518257;5.828153364699572;8094.657450971627;-0.16697022376394324;0.008089475869918318;-1622.471134210943;0.0467683743739471
1700;1;256;6.063276914796234;9555.05580525902;5.835180038006245;8104.416719453117;-0.1518190071697419;-0.03761940613884288;-1450.639085805903;-0.2280968767899898
1800;1;256;6.389099511472571;9282.404916623946;6.099961481764848;8107.33849251043;-0.12659073103017496;-0.045254895339872675;-1175.0664241135155;-0.28913802970772284
1900;1;256;6.76353407578695;8899.175919277332;6.462531932934501;8104.504555975044;-0.08929718554960532;-0.044503678029806815;-794.6713633022873;-0.3010021428524494
2e3;1;256;7.191261903171688;8405.368813219186;7.033108940003158;8106.395735365558;-0.035569299158346335;-0.021992379821235027;-298.97307785362773;-0.15815296316852923
200;2;256;3.9397306369134704;498.6036750677695;4.038009666394161;2790.2222680998902;4.5960724070488395;0.024945621550839313;2291.6185930321208;0.09827902948069056
300;2;256;4.098129170897062;1884.6244171056887;4.14820765474676;3973.378979642491;1.108313435599336;0.012219840264023741;2088.754562536802;0.05007848384969815
400;2;256;4.234920241033959;3160.0670504320724;4.253807077267952;5017.465295196925;0.5877717830420378;0.004459785582498268;1857.3982447648523;0.018886836233993343
500;2;256;4.354785142756477;4324.931575046924;4.35171519108565;5940.097175929089;0.37345460219555976;-7.049605365568636e-4;1615.1656008821647;-0.0030699516708274643
600;2;256;4.4624051714969335;5379.21799095024;4.454652802116845;6761.768066358297;0.2570169265744571;-0.0017372625483686656;1382.5500754080567;-0.007752369380088275
700;2;256;4.562461622687643;6322.926298142024;4.546142210312084;7472.291601433406;0.18177743169790225;-0.0035768875938391757;1149.3653032913817;-0.016319412375558784
800;2;256;4.659635791760921;7156.056496622276;4.670968203863116;7816.211853853942;0.09225127799693372;0.0024320381696426;660.1553572316652;0.011332412102195377
900;2;256;4.758608974149083;7878.608586390997;4.7894593804053045;7990.422723398906;0.014192117273226371;0.006483072348204058;111.81413700790927;0.030850406256221596
1e3;2;256;4.864062465284446;8490.582567448182;4.912648017659336;8074.700883726719;-0.04898152516835539;0.009988677719838593;-415.88168372146265;0.04858555237488993
1100;2;256;4.980677560599325;8991.978439793831;5.022321307915975;8087.473925790621;-0.1005901559995231;0.008361060680996783;-904.5045140032098;0.04164374731664999
1200;2;256;5.113135555526037;9382.796203427952;5.1564785192996165;8092.401944914653;-0.13752768690018663;0.00847678754120573;-1290.394258513299;0.04334296377357916
1300;2;256;5.266117745496897;9663.03585835054;5.276626303217657;8097.953197080505;-0.16196593743544194;0.0019955037522178345;-1565.0826612700357;0.010508557720759981
1400;2;256;5.44430542594422;9832.69740456159;5.378897212974803;8098.309564852158;-0.17638983163509275;-0.012014060169681422;-1734.3878397094322;-0.0654082129694169
1500;2;256;5.652379892300322;9891.78084206111;5.525399448611596;8099.383536516558;-0.18120066893547132;-0.022464952127810658;-1792.397305544553;-0.1269804436887263
1600;2;256;5.895022439997521;9840.286170849096;5.99267642178488;8100.400678270993;-0.17681248922743195;0.016565497889334625;-1739.8854925781034;0.09765398178735918
1700;2;256;6.17691436446813;9678.213390925546;5.987973848363214;8094.044131337137;-0.1636840598156012;-0.030588171529748187;-1584.1692595884097;-0.1889405161049167
1800;2;256;6.502736961144467;9405.562502290471;6.284549287965181;8100.733807637511;-0.13872946932575322;-0.033553206055083225;-1304.8286946529606;-0.218187673179286
1900;2;256;6.877171525458846;9022.333504943857;6.689272290241788;8096.432207990543;-0.10262326220217413;-0.02732216791764859;-925.9012969533142;-0.1878992352170581
2e3;2;256;7.3048993528435835;8528.526398885711;7.325688893287704;8107.225424178512;-0.04939903507389553;0.0028459721948157343;-421.3009747071992;0.02078954044412029
